"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burundi","BDI","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.2488883301515","","","","","40.0095359047131","","","","","40.9557801196629","","","","","40.1478129857621","","","","","38.3811682528793","38.2361912138609","41.0113277588908","39.9710720374836","39.3875586351983","38.4308804776861","38.65322349306","38.8962679482295","",
"Bélgica","BEL","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5874964252016","","","","","16.4960657238411","","","","","15.6624512189871","","","","","15.4363514574039","","","","","16.0093192335248","15.6984425660181","14.7418936525439","14.022669855411","13.2336213038739","13.5665230328776","12.8330875090711","12.8865184713072","",
"Benin","BEN","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2201360958666","","","","","38.0784716267835","","","","","39.776293240581","","","","","34.3288088985177","","","","","32.3929691623113","32.5808462339065","31.9920004396705","31.4432986543429","29.6604556737574","40.4706826318169","38.4477036582204","38.9999587632257","",
"Burkina Faso","BFA","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.0146612567422","","","","","45.1089335182779","","","","","44.8831116719604","","","","","39.335115187615","","","","","37.4913287244265","37.2813754909085","38.7841514647357","33.2872002087149","33.9690931656904","46.5621675758196","41.5372429103562","42.9355925055958","",
"Bangladesh","BGD","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5956296327088","","","","","61.8031439877725","","","","","63.0363418042722","","","","","68.8735459074661","","","","","70.7649956561969","70.2105488970643","70.7939088190512","65.6450828942286","68.3953773999732","66.965749241971","60.1262746665842","60.8457845768598","",
"Bulgaria","BGR","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5598809577817","","","","","25.4928101476946","","","","","24.0898088199408","","","","","23.267300130887","","","","","22.7561954933364","24.3003270160439","22.6446557816423","20.9996370886972","20.7435699611911","20.7764274157217","19.2830130341207","19.1491323370921","",
"Bahrein","BHR","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.1587615823942","","","","","68.1233494155679","","","","","67.9577893383379","","","","","64.5872757767634","","","","","65.6308809736381","63.7324992882939","70.2874825415208","67.794678177984","62.758543707641","72.6046774264373","69.8641823640273","70.8162076823101","",
"Bahamas","BHS","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.019923737563","","","","","21.2866268998626","","","","","21.3182006569771","","","","","21.0663565154046","","","","","21.1105136971362","21.7744249405106","20.3170756932496","19.9094007901768","18.4953332809446","18.8863062069471","17.6513206940833","17.3677204858567","",
"Bosnia y Herzegovina","BIH","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3525578052722","","","","","29.3396139098119","","","","","33.1722601843176","","","","","33.772121067202","","","","","32.3001560924824","34.1918664789545","31.7732597083639","30.4462307541208","28.7773251270833","29.62283838547","27.5944670874007","27.7476689647337","",
"Belarús","BLR","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.5858482611095","","","","","22.6568869959596","","","","","22.6502661292655","","","","","22.8719005528036","","","","","23.3194095815656","22.9111457833362","21.6463722628796","20.5904595427973","19.7660536645136","20.0762763601327","18.8782395170299","18.7655799063811","",
"Belice","BLZ","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.429802340104","","","","","27.1251925184233","","","","","27.8414398265816","","","","","28.2925787310042","","","","","28.2730541965825","28.8004462756898","27.4091221262169","27.2844396614662","24.421148092659","25.2168256558382","23.0656842383796","23.0118921090113","",
"Bermudas","BMU","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7497593411712","","","","","11.6910110552035","","","","","14.8054427482806","","","","","14.7755869189994","","","","","14.6473815127597","14.8431129198767","13.9790826313443","13.4788509478601","12.8064147726534","12.4179610821468","11.6599436225998","11.646359194991","",
"Bolivia","BOL","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9526794872488","","","","","24.6725723928815","","","","","26.2544413947557","","","","","29.3956430013118","","","","","29.5728098986586","27.9042043928553","26.3902438849335","26.0904689724638","24.8188293201879","22.4763999240855","21.3866041028025","21.5689865956858","",
"Brasil","BRA","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1438614382675","","","","","15.4128568980135","","","","","15.7734811860184","","","","","15.5959257322181","","","","","15.9552850623393","15.9127979882089","15.2854557635981","14.6099009220172","13.989934768646","13.5946556248812","12.6586760087632","12.7066294740724","",
"Barbados","BRB","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2125217340507","","","","","28.2458825014992","","","","","28.4794561939798","","","","","28.4828009987867","","","","","28.2168144128082","29.3034896712655","27.0335295598113","26.2302305442659","25.1830144736914","24.6862408249598","23.4591998416279","23.0801758047572","",
"Brunei Darussalam","BRN","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.73229822202624","","","","","6.83956834251255","","","","","6.88451352392684","","","","","7.24439177038536","","","","","7.41700440262452","7.36618712214386","7.57082294863593","6.70948968257737","6.18083011458724","6.48417977386146","5.92760007169152","5.90306546792381","",
"Bhután","BTN","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2059690673873","","","","","40.0750749578279","","","","","39.7495788195725","","","","","43.0196356556158","","","","","43.961883169177","43.0717032876702","42.9322728903261","41.8819070055062","40.839673733048","39.8186387277385","37.2243639362562","37.926503204094","",
"Botswana","BWA","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4354308255046","","","","","24.986308924609","","","","","25.3018243731194","","","","","25.0737269309676","","","","","25.724720717595","24.5921145917485","24.8540389372008","24.874259310378","24.1512777920262","24.3302579595546","23.6312674185731","23.094386181065","",
"República Centroafricana","CAF","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2871560899503","","","","","53.4042559118869","","","","","51.5721435267349","","","","","52.8966335089394","","","","","51.533319611598","51.2295313656511","53.3588338440954","50.874913683433","49.3563637631035","58.3260985147378","56.9854224760331","56.8284973827312","",
"Canadá","CAN","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.22586390838069","","","","","8.10393059888351","","","","","8.2809835638994","","","","","8.49546913726218","","","","","8.38445726234609","8.62446106021405","8.10741049508877","7.79163612486354","7.42841986407115","7.15158214464181","6.54907476129371","6.42838313258525","",
"Europa Central y del Báltico","CEB","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8180460585383","","","","","22.9158237522222","","","","","21.5599051535744","","","","","21.6090396645917","","","","","21.9880286565377","21.9098300385535","20.2036248901265","19.2253757798309","18.6091962291898","18.9941084555443","17.641085680237","17.6334312167371","",
"Suiza","CHE","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2283726553172","","","","","13.3705608058867","","","","","12.6907640595053","","","","","12.8618159955264","","","","","12.9222197296525","13.0492212150514","12.2613880127188","11.8200549924358","11.3891071872707","11.1652546798053","10.3426304652567","10.3031001048906","",
"Islas del Canal","CHI","Contaminación del aire por PM2,5, exposición anual media (microgramos por metro cúbico)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
